sentence,page,x_coord,y_coord,doc_name,embedding_index
Présentation générale,1,49.008,309.7299999999999,2024 - Présentation _GEOFIT,0
"Société française de Géomètres Experts créée en 1968 à Nantes, GEOFIT est aujourd’hui un acteur référent",3,49.008,120.03999999999996,2024 - Présentation _GEOFIT,1
du développement des territoires et de la ville,3,49.008,144.03999999999996,2024 - Présentation _GEOFIT,2
"Notre métier consiste à mesurer, quantifier et analyser les données géospatiales afin de les transformer en",3,49.008,192.04,2024 - Présentation _GEOFIT,3
véritables outils,3,49.008,216.02199999999996,2024 - Présentation _GEOFIT,4
d’aide à la décision.,3,49.008,216.02199999999996,2024 - Présentation _GEOFIT,5
"S’appuyant sur ses équipes engagées, GEOFIT contribue chaque jour à",3,49.008,216.02199999999996,2024 - Présentation _GEOFIT,6
"accompagner et sécuriser les projets d’aménagement et fonciers, en France et dans le monde.",3,49.008,240.07,2024 - Présentation _GEOFIT,7
1000 22 400 120 120M€ 8M€,3,97.224,419.722,2024 - Présentation _GEOFIT,8
collaborateurs établissements en collaborateurs pays couverts par nos de chiffre d’affaires d'investissements en,3,106.68,466.45472,2024 - Présentation _GEOFIT,9
en France France,3,118.92,479.65472,2024 - Présentation _GEOFIT,10
à l’international,3,118.92,479.65472,2024 - Présentation _GEOFIT,11
interventions en 2023,3,118.92,479.65472,2024 - Présentation _GEOFIT,12
Les sociétés du groupe,5,49.008,53.57999999999993,2024 - Présentation _GEOFIT,13
IGO NEOGEO CIVITAS,5,50.592,474.82,2024 - Présentation _GEOFIT,14
"Société française de Géomètres Experts créée en 1968 à Nantes, GEOFIT est aujourd’hui un acteur référent",6,49.008,120.03999999999996,2024 - Présentation _GEOFIT,15
du développement des territoires et de la ville,6,49.008,144.03999999999996,2024 - Présentation _GEOFIT,16
"Notre métier consiste à mesurer, quantifier et analyser les données géospatiales afin de les transformer en",6,49.008,192.04,2024 - Présentation _GEOFIT,17
véritables outils,6,49.008,216.02199999999996,2024 - Présentation _GEOFIT,18
d’aide à la décision.,6,49.008,216.02199999999996,2024 - Présentation _GEOFIT,19
"S’appuyant sur ses équipes engagées, GEOFIT contribue chaque jour à",6,49.008,216.02199999999996,2024 - Présentation _GEOFIT,20
"accompagner et sécuriser les projets d’aménagement et fonciers, en France et dans le monde.",6,49.008,240.07,2024 - Présentation _GEOFIT,21
1000 22 400 120 120M€ 8M€,6,97.224,419.722,2024 - Présentation _GEOFIT,22
collaborateurs établissements en collaborateurs pays couverts par nos de chiffre d’affaires d'investissements en,6,106.68,466.45472,2024 - Présentation _GEOFIT,23
en France France,6,118.92,479.65472,2024 - Présentation _GEOFIT,24
à l’international,6,118.92,479.65472,2024 - Présentation _GEOFIT,25
interventions en 2023,6,118.92,479.65472,2024 - Présentation _GEOFIT,26
Moyens Aériens & Capteurs,7,49.008,14.201999999999884,2024 - Présentation _GEOFIT,27
▪3 Partenavia P68 et P68B (2 x 200ch,7,94.008,313.07679999999993,2024 - Présentation _GEOFIT,28
- vitesse 300 km/h),7,94.008,313.07679999999993,2024 - Présentation _GEOFIT,29
LiDAR Galaxy Prime (multi-écho 1MHz / σ 3 cm),7,574.08,329.87679999999995,2024 - Présentation _GEOFIT,30
Cheyenne et Navajo (2 x 380ch,7,94.008,336.4768,2024 - Présentation _GEOFIT,31
- vitesse 450 km/h),7,94.008,336.4768,2024 - Présentation _GEOFIT,32
LiDAR Galaxy T2000 (multi-écho 2MHz / σ 3 cm),7,574.08,353.2768,2024 - Présentation _GEOFIT,33
Caravan C208 (vitesse 340 km/h) & 2 ULM,7,94.008,359.85772,2024 - Présentation _GEOFIT,34
▪Leica LiDAR ALS70-HP (multi-écho 0.5MHz / σ 3 cm),7,574.08,376.6968,2024 - Présentation _GEOFIT,35
en location dans le monde entier,7,177.19,423.4968,2024 - Présentation _GEOFIT,36
montage compatible pour type ▪,7,177.19,423.4968,2024 - Présentation _GEOFIT,37
"EC120/135, EUROCOPTER AS350/AS355, BELL 206/206L/407)",7,49.008,447.39828,2024 - Présentation _GEOFIT,38
"25 DRONES CIVILS (Capteurs Photos, LiDAR, infrarouge) ▪VEXCEL Osprey",7,49.008,485.514,2024 - Présentation _GEOFIT,39
et Prime M4.1 → 3D,7,49.008,485.514,2024 - Présentation _GEOFIT,40
haute résolution,7,49.008,485.514,2024 - Présentation _GEOFIT,41
Prime Mark2 → 2D,7,574.08,515.3208,2024 - Présentation _GEOFIT,42
Haute résolution,7,574.08,515.3208,2024 - Présentation _GEOFIT,43
▪LEICA ADS80 → 2D,7,574.08,538.7207999999999,2024 - Présentation _GEOFIT,44
Moyens Terrestres & Topographiques,8,48.576,11.819999999999936,2024 - Présentation _GEOFIT,45
", HAUTE PERFORMANCE ▪ 4 SYSTÈMES BACPACK :",8,46.752,295.6,2024 - Présentation _GEOFIT,46
"LiDAR, Centrale inertielle et",8,46.752,295.6,2024 - Présentation _GEOFIT,47
"▪LiDAR : Riegl VQ450 (550 kHz) et Riegl VUX-1HA (1070 kHz),",8,69.312,335.0217999999999,2024 - Présentation _GEOFIT,48
▪ 45 SCANNERS FIXES,8,555.72,348.38091999999995,2024 - Présentation _GEOFIT,49
Z+F 9012 (1000 kHz ),8,69.312,355.60931199999993,2024 - Présentation _GEOFIT,50
Ladybug 5+ de 30 MP à 360° ▪ 140 SYSTÈMES GNSS,8,69.312,382.03,2024 - Présentation _GEOFIT,51
"▪IMU : 600 Hz, couplés à des sysèmes GNSS (GPS + ▪ 150 TACHÉOMÈTRES ET NIVEAUX",8,69.312,415.63,2024 - Présentation _GEOFIT,52
grade tactique de très haute précision.,8,69.312,456.45628,2024 - Présentation _GEOFIT,53
Nos savoir-faire,9,49.008,57.50999999999999,2024 - Présentation _GEOFIT,54
Défense et Sécurité civile,10,734.42,89.88999999999993,2024 - Présentation _GEOFIT,55
Gestion du territoire,10,841.61,447.94,2024 - Présentation _GEOFIT,56
Gestion du territoire,11,49.008,334.80999999999995,2024 - Présentation _GEOFIT,57
▪Plan topographique ▪Dossiers réglementaires,11,61.512,372.79,2024 - Présentation _GEOFIT,58
▪Pilotage d’opérations,11,61.512,372.79,2024 - Présentation _GEOFIT,59
"Bornage, division et servitudes",11,61.512,394.38999999999993,2024 - Présentation _GEOFIT,60
Négociation amiable ▪Conseils et expertises,11,61.512,394.38999999999993,2024 - Présentation _GEOFIT,61
▪Travaux fonciers et cadastre ▪,11,61.512,415.99,2024 - Présentation _GEOFIT,62
d’expropriation ▪Spécification et audit SIG,11,61.512,415.99,2024 - Présentation _GEOFIT,63
▪Copropriété et division en volume ▪,11,61.512,437.57092,2024 - Présentation _GEOFIT,64
Actes administratifs ▪,11,61.512,437.57092,2024 - Présentation _GEOFIT,65
Développement SIG,11,61.512,437.57092,2024 - Présentation _GEOFIT,66
"Aménagement foncier ▪Cadastre, Gouvernance ▪Smart-City (jumeau-numérique, IOT)",11,61.512,459.2099999999999,2024 - Présentation _GEOFIT,67
Urbanisme ▪Sécurisation foncière,11,61.512,480.81,2024 - Présentation _GEOFIT,68
"▪Acquisition massive (aérien, MMS,...)",11,61.512,502.41,2024 - Présentation _GEOFIT,69
▪Mise en place et calcul de réseaux géodésiques ▪,12,61.512,390.79,2024 - Présentation _GEOFIT,70
"Étude d’exécution, terrassement, assainissement,",12,61.512,390.79,2024 - Présentation _GEOFIT,71
▪Bathymétrie fluviale et littorale ▪Métrés,12,61.512,412.38999999999993,2024 - Présentation _GEOFIT,72
"Surveillance des infrastructures (auscultation, monitoring)",12,61.512,433.97092,2024 - Présentation _GEOFIT,73
▪Modélisation et synthèse BIM,12,61.512,433.97092,2024 - Présentation _GEOFIT,74
"Expertise ferroviaire (relevé, contrôle, guidage, ballastage, ▪Spécifications, développements SIG",12,61.512,455.61,2024 - Présentation _GEOFIT,75
géométrie des voies),12,61.512,477.15,2024 - Présentation _GEOFIT,76
"en phase de construction (relevé,",12,61.512,494.00999999999993,2024 - Présentation _GEOFIT,77
implémentation et contrôle),12,61.512,515.55,2024 - Présentation _GEOFIT,78
▪Relevé in situ de réseaux souterrains visitables ou ▪Étude de liaisons souterraines,13,85.512,390.79,2024 - Présentation _GEOFIT,79
accessibles ▪Etudes,13,85.512,412.38999999999993,2024 - Présentation _GEOFIT,80
"Electricité (BT, HT)",13,85.512,412.38999999999993,2024 - Présentation _GEOFIT,81
Détection et géoréférencement de réseaux enterrés ▪Constitution de bases de données Modélisation 3D,13,85.512,433.97092,2024 - Présentation _GEOFIT,82
"Recalage, plan de synthèse multi-réseaux ▪Étude de tranchées forestières",13,85.512,455.61,2024 - Présentation _GEOFIT,83
▪Assistance à maitrise d’ouvrage,13,85.512,477.2099999999999,2024 - Présentation _GEOFIT,84
▪Surveillance pipeline,13,85.512,498.81,2024 - Présentation _GEOFIT,85
▪Plan de masse ▪Auscultation,14,94.008,390.79,2024 - Présentation _GEOFIT,86
"Plans d’intérieur, de façade, toiture, coupe ▪Inventaire qualitatif et quantitatif des éléments et",14,94.008,412.38999999999993,2024 - Présentation _GEOFIT,87
"▪Modélisation BIM (Revit, IFC)",14,94.008,433.97092,2024 - Présentation _GEOFIT,88
"▪Constitution de bases de données GEM (gestion, ▪État des lieux locatif",14,94.008,455.61,2024 - Présentation _GEOFIT,89
"exploitation, maintenance)",14,94.008,478.0199999999999,2024 - Présentation _GEOFIT,90
▪Mesure de haute précision (< 10μm au mm),15,94.008,392.5899999999999,2024 - Présentation _GEOFIT,91
▪Caractérisation des défauts (qualification et,15,573.72,390.79,2024 - Présentation _GEOFIT,92
▪Relevé 3D quantification),15,94.008,412.3299999999999,2024 - Présentation _GEOFIT,93
▪Implantation et réglage de chaines de production,15,573.72,429.1709199999999,2024 - Présentation _GEOFIT,94
▪Modélisation 3D,15,94.008,438.1709199999999,2024 - Présentation _GEOFIT,95
Rédaction de procédure technique,15,573.72,450.81,2024 - Présentation _GEOFIT,96
Défense et sécurité civile,16,49.008,334.80999999999995,2024 - Présentation _GEOFIT,97
▪Photo-interprétation d’images satellite ▪GEOINT,16,94.008,390.79,2024 - Présentation _GEOFIT,98
Rédaction cartographique,16,94.008,412.38999999999993,2024 - Présentation _GEOFIT,99
▪Contrôle qualité pour la production de données ▪,16,94.008,433.97092,2024 - Présentation _GEOFIT,100
Déploiement de bases d’apprentissage IA,16,94.008,433.97092,2024 - Présentation _GEOFIT,101
Merci pour votre attention,17,49.008,307.80999999999995,2024 - Présentation _GEOFIT,102
HHeeiinnrriiccHH,1,479.6503,42.0435,3_MATS_CATAL_HE_VII,103
ÉÉccllaaiirraaggee,1,479.6503,42.0435,3_MATS_CATAL_HE_VII,104
HHeeiinnrriiccHH,2,29.5086,42.0435,3_MATS_CATAL_HE_VII,105
ÉÉccllaaiirraaggee,2,29.5086,42.0435,3_MATS_CATAL_HE_VII,106
Typhon anti-vandalisme 172,2,303.874,480.4022000000001,3_MATS_CATAL_HE_VII,107
Gamme ACIER/FONTE,2,406.4739,521.5082,3_MATS_CATAL_HE_VII,108
162 Mâts contemporains,3,47.7675,23.154800000000023,3_MATS_CATAL_HE_VII,109
HHeeiinnrriiccHH,3,479.6503,42.0435,3_MATS_CATAL_HE_VII,110
ÉÉccllaaiirraaggee,3,479.6503,42.0435,3_MATS_CATAL_HE_VII,111
