sentence,roi,notoriete,obligation,source,sub_category
"In Burkina Faso,  widespread insecurity resulted in deteriorated access and required the deployment of seven rotary-wing aircraft to reach people in need.",0,0,1,UNHAS,
L'adoption de pratiques de gestion des déchets et de recyclage dans un lieu de travail peut réduire les coûts liés à l'élimination des déchets offrant ainsi un retour sur investissement grâce à des économies sur les services de gestion des déchets,1,0,0,Synthetic,économie_des_consommations
Photo page 51: WFP/Med Lemine Rajel,0,0,0,UNHAS,
En utilisant cette solution une entreprise de marketing digital a pu augmenter ses revenus publicitaires de 30 % ce qui a directement impacté ses résultats d'exploitation,1,0,0,Synthetic,Résultats_d'exploitations
UNHAS operates an aircraft from Mopti and offers air transport to some hard-to-reach  locations.,0,0,0,UNHAS,
Guinea | Gratien Kasongo | gratien.kasongo@wfp.org,0,0,0,UNHAS,
Grâce à une meilleure optimisation des flux de gestion de projet nous avons pu respecter les délais plus facilement réduisant ainsi les coûts liés aux retards et aux dépassements de budget,1,0,0,Synthetic,Optimisation_des_flux
L'intégration rapide et facile de cette solution de gestion des stocks a permis à notre entreprise de réduire le temps nécessaire pour suivre et gérer nos stocks ce qui a entraîné des économies de temps et d'argent significatives,1,0,0,Synthetic,Facilité_et_rapidité_de_déploiment
Les résidents pourront voter et donner leur avis sur les projets locaux ce qui les rendra plus investis dans la vie de leur quartier,0,1,0,Synthetic,Participation_citoyenne
"The Airbus Helicopters H225 (formerly Eurocopter EC225) is a twin-engine,   long-range passenger transport helicopter developed by Eurocopter as the next generation of the civilian Super Puma family to carry up to 24 passengers.",0,0,0,UNHAS,
En proposant des programmes de réduction du stress et de la solitude notre entreprise contribue à améliorer la santé mentale des citoyens locaux en offrant des outils pour faire face aux défis de la vie quotidienne,0,1,0,Synthetic,Cadre_de_vie
En utilisant notre solution les habitants pourront accéder à des ressources éducatives en ligne pour améliorer leurs compétences et leur employabilité ce qui favorise l'épanouissement personnel,0,1,0,Synthetic,Bienveillance
Grâce à notre plateforme de partage de compétences les résidents peuvent offrir leurs connaissances et leur expertise à leurs voisins favorisant ainsi les interactions sociales et la solidarité au sein de la communauté,0,1,0,Synthetic,Lien_sociale
Une entreprise de logistique a amélioré ses calendriers de livraison grâce à cette solution ce qui a réduit ses coûts d'exploitation de 12 % et a augmenté ses résultats d'exploitation,1,0,0,Synthetic,Résultats_d'exploitations
Grâce à nos produits et solutions nos clients disposent d'un soutien continu pour la mise en place de processus et de procédures conformes aux exigences légales liées à l'Inspection réglementaire,0,0,1,Synthetic,Inspection_reglementaire
"In August 2023, a special regional operation was activated, connecting  Niamey and Ouagadougou (Burkina Faso) to allow for the swift movement of humanitarian personnel in and out of Niger in the absence of reliable   commercial operators.",1,1,0,UNHAS,
En utilisant les données de localisation des clients les commerçants peuvent optimiser leurs opérations en ouvrant de nouvelles succursales ou en ajustant les horaires d'ouverture pour mieux répondre à la demande ce qui entraîne une augmentation des revenus,1,0,0,Synthetic,Monétisation_de_la_donnée
Democratic Republic of the Congo *Syrian AR,0,0,0,UNHAS,
Nous avons conçu nos produits pour répondre aux exigences de sûreté visàvis de l'environnement vous procurant ainsi une protection juridique en cas d'accidents ou de dommages environnementaux,0,0,1,Synthetic,Respect_de_l'environnement_au_niveau_légal
En choisissant nos produits nos clients peuvent être sûrs de respecter toutes les exigences réglementaires en matière de protection de la santé de leurs employés sur le lieu de travail,0,0,1,Synthetic,Respects_des_règles_de_santé_au_travail
Niger 0.8M Nigeria 0.6M Haiti 0.5M South Sudan 0.5M Madagascar 0.1M,0,0,0,UNHAS,
"In 2023, the PSS and PASS surveys showed an overall satisfaction rate of 99 per cent and 94 per cent    respectively.",0,1,0,UNHAS,
Funding requirements to sustain the operation until the end of 2024 .,0,0,0,UNHAS,
Les habitants peuvent utiliser notre plateforme pour échanger des compétences et des services entre voisins favorisant ainsi l'entraide et la coopération au sein de la communauté,0,1,0,Synthetic,Implication_citoyenne
Un opérateur télécom peut utiliser la modélisation des prix pour proposer des forfaits personnalisés en fonction de l'utilisation des clients ce qui peut augmenter sa rétention de clients et ses revenus,1,0,0,Synthetic,Modélisation_des_pricings
Photo page 35: WFP/Evelyn Fey,0,0,0,UNHAS,
Photo 2 page 79: WFP/Jasmeen Sihra,0,0,0,UNHAS,
Nous offrons des formations et des ressources pour aider nos clients à comprendre et à respecter les obligations légales liées à la protection des infrastructures et à mettre en œuvre efficacement nos solutions dans ce contexte,0,0,1,Synthetic,Protection_des_infrastructures
